Carimbo,Idade,Sexo,TempoDocencia,Graduacao,PosGraduacao,Instituicao,ED1,ED2,ED3,ED4,EE1,EE2,EE3,EE4,IS1,IS2,IS3,CF1,CF2,CF3,CF4,MH1,MH2,MH3,PR1,PR2,PR3,HA1,HA2,HA3,HA4,IC1,IC2,IC3,UsoR,UsoTinkerplots,UsoFathom,UsoExcel,UsoSPSS,UsoCODAP,UsoMinitab,UsoPython,UsoSigmaplot,UsoPSPP,UsoOutros1,Outros1,UsoOutros2,Outros2,UsoOutros3,Outros3
22/11/2023 20:04:41,45,Masculino,20,Estatística,Não,Universidade Federal Fluminense (instituição em que estou lotado),4,3,4,3,4,5,4,5,3,4,3,3,5,4,4,3,4,3,3,3,3,4,3,4,3,4,3,4,4,1,1,3,2,1,1,1,1,1,,,,,,
30/11/2023 17:56:46,46,Feminino,6,Licenciatura em Matemática,Sim,Unesp _ Bauru _ SP,5,3,5,4,2,4,2,4,3,3,4,1,4,5,4,4,5,4,2,2,2,4,1,5,4,5,4,5,3,1,1,5,2,1,2,1,1,1,,,,,,
27/11/2023 15:36:42,46,Feminino,10,BACHARELADO EM ESTATÍSTICA,Não,UNIVERSIDADE FEDERAL DO PARÁ,5,5,5,5,4,4,4,4,5,3,5,1,4,5,5,5,5,5,4,4,1,5,1,5,4,5,5,5,1,1,1,5,3,1,5,1,1,1,,,,,,
21/11/2023 14:53:21,46,Masculino,12,Estatística,Sim,UFSCar,5,5,5,5,3,5,4,3,5,5,5,1,4,5,3,4,5,4,1,1,1,5,1,5,5,5,5,5,5,1,1,5,2,1,2,1,1,1,,,,,,
22/11/2023 16:24:41,46,Feminino,15,Matemática,Não,UFPE,4,2,4,2,4,4,4,4,4,4,2,2,4,4,5,4,4,4,2,2,2,4,1,4,4,4,2,4,2,1,1,3,1,1,1,1,1,1,,,,,,
07/12/2023 12:42:09,46,Masculino,15,Biologia,Não,UFV,5,4,5,5,5,4,5,5,4,3,3,2,5,5,5,5,5,5,5,4,4,5,1,5,5,5,5,5,3,1,1,4,1,1,1,1,2,1,4,PAST 4.3,4,Stats Tester for Android,4,Analystat for android
21/11/2023 10:37:38,46,Feminino,17,Bacharelado em Estatística,Sim,IME - USP (Universidade de São Paulo),4,3,1,1,2,5,4,3,3,3,3,,2,3,3,4,4,3,,5,,4,1,4,4,4,3,4,4,1,1,3,1,1,1,1,1,,2,SAS,,,,
21/11/2023 16:33:58,46,Feminino,18,Estatística,Sim,UFRJ,5,2,4,5,4,5,5,4,2,3,2,5,4,5,4,4,4,4,5,5,5,5,1,5,5,5,5,5,5,1,1,2,1,1,1,1,1,1,4,OpenBugs,,,,
15/12/2023 08:14:38,47,Masculino,5,Ciências da Computação,Não,Que ensino: CEFET-MG   /   Que fiz minha graduação: UFLA,5,5,5,5,5,5,5,5,3,3,3,3,5,5,3,5,5,5,3,5,3,5,4,5,5,5,5,5,1,1,1,4,1,1,1,5,1,1,5,pandas - Python Data Analysis Library,5,seaborn: statistical data visualization,5,SymPy
05/12/2023 14:30:15,47,Masculino,7,Licenciatura em Matemática UERJ,Não,Universidade Federal Fluminense,4,4,5,4,4,3,2,3,1,1,3,1,4,3,4,4,4,4,3,3,1,4,1,5,3,4,4,3,3,1,1,3,1,1,1,1,1,1,4,CHIC (Classificação Hierárquica Implicativa Coesitiva),,,,
