Genero,Idade,Experiencia,ED1,ED2,ED3,ED4,EE1,EE2,EE3,EE4,IS1,IS2,IS3,CF1,CF2,CF3,CF4,MH1,MH2,MH3,PR1,PR2,PR3,HA1,HA2,HA3,HA4,IC1,IC2,IC3,USO1,USO2,USO3,USO
1,46,144,5,5,5,5,3,5,4,3,5,5,5,1,4,5,3,4,5,4,1,1,1,5,1,5,5,5,5,5,5,2,5,5
0,46,180,4,2,4,2,4,4,4,4,4,4,2,2,4,4,5,4,4,4,2,2,2,4,1,4,4,4,2,4,2,1,3,3
1,46,180,5,4,5,5,5,4,5,5,4,3,3,2,5,5,5,5,5,5,5,4,4,5,1,5,5,5,5,5,3,4,4,4
0,46,204,4,3,1,1,2,5,4,3,3,3,3,999,2,3,3,4,4,3,999,5,999,4,1,4,4,4,3,4,4,2,3,4
0,46,216,5,2,4,5,4,5,5,4,2,3,2,5,4,5,4,4,4,4,5,5,5,5,1,5,5,5,5,5,5,1,2,5
1,47,60,5,5,5,5,5,5,5,5,3,3,3,3,5,5,3,5,5,5,3,5,3,5,4,5,5,5,5,5,5,5,4,5
1,47,84,4,4,5,4,4,3,2,3,1,1,3,1,4,3,4,4,4,4,3,3,1,4,1,5,3,4,4,3,4,1,3,4
1,47,120,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,3,5,1,5,4,5,999,5,5,5,5,1,1,5
1,47,144,5,5,5,5,5,4,4,5,4,4,4,1,5,5,4,4,4,4,2,2,1,4,1,4,4,4,4,5,4,3,5,5
0,47,180,5,4,4,4,4,4,4,3,4,4,4,3,2,5,4,4,4,4,3,4,3,4,1,4,4,5,4,5,4,4,5,5
1,47,204,5,5,5,5,5,4,5,5,3,3,5,1,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5
0,47,216,5,4,4,3,5,5,4,4,5,5,5,1,5,5,5,4,5,4,4,3,3,5,1,5,4,5,5,5,4,1,4,4
1,47,216,5,5,5,5,5,4,5,5,999,999,999,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5
1,47,240,4,4,4,5,4,4,4,5,4,4,4,1,5,5,5,5,5,5,5,4,1,4,1,5,3,4,5,4,5,3,3,5
0,47,240,5,4,999,4,3,2,4,5,3,4,4,1,4,4,4,5,5,4,4,5,1,4,1,4,4,5,4,4,5,4,5,5
1,47,252,4,4,4,5,4,5,5,4,3,4,4,1,4,5,4,4,5,4,1,5,1,4,1,4,5,5,4,5,5,3,3,5
1,47,252,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,3,5,5,4,5,4,5,1,5,5,5,4,5,5,2,4,5
1,48,120,5,5,999,5,5,5,5,5,5,2,5,1,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5
1,48,168,5,4,3,4,2,3,4,1,3,3,3,1,2,4,4,3,4,3,1,1,1,4,1,4,3,4,3,4,3,3,5,5
0,48,204,5,5,5,5,3,5,4,4,5,5,5,2,5,5,4,999,5,5,2,2,2,5,1,5,5,5,999,5,5,3,5,5
